LengthBegin,LengthEnd,Reads,Bases,CumulativeReads,CumulativeBases,FractionalCumulativeReads,FractionalCumulativeBases,
115000,116000,0,0,3,403891,0.15,0.453076
116000,117000,0,0,3,403891,0.15,0.453076
117000,118000,0,0,3,403891,0.15,0.453076
118000,119000,0,0,3,403891,0.15,0.453076
119000,120000,0,0,3,403891,0.15,0.453076
120000,121000,0,0,3,403891,0.15,0.453076
121000,122000,0,0,3,403891,0.15,0.453076
122000,123000,0,0,3,403891,0.15,0.453076
123000,124000,0,0,3,403891,0.15,0.453076
124000,125000,0,0,3,403891,0.15,0.453076
125000,126000,0,0,3,403891,0.15,0.453076
126000,127000,2,252586,3,403891,0.15,0.453076
127000,128000,0,0,1,151305,0.05,0.16973
128000,129000,0,0,1,151305,0.05,0.16973
129000,130000,0,0,1,151305,0.05,0.16973
130000,131000,0,0,1,151305,0.05,0.16973
131000,132000,0,0,1,151305,0.05,0.16973
132000,133000,0,0,1,151305,0.05,0.16973
133000,134000,0,0,1,151305,0.05,0.16973
134000,135000,0,0,1,151305,0.05,0.16973
135000,136000,0,0,1,151305,0.05,0.16973
136000,137000,0,0,1,151305,0.05,0.16973
137000,138000,0,0,1,151305,0.05,0.16973
138000,139000,0,0,1,151305,0.05,0.16973
139000,140000,0,0,1,151305,0.05,0.16973
140000,141000,0,0,1,151305,0.05,0.16973
141000,142000,0,0,1,151305,0.05,0.16973
142000,143000,0,0,1,151305,0.05,0.16973
143000,144000,0,0,1,151305,0.05,0.16973
144000,145000,0,0,1,151305,0.05,0.16973
145000,146000,0,0,1,151305,0.05,0.16973
146000,147000,0,0,1,151305,0.05,0.16973
147000,148000,0,0,1,151305,0.05,0.16973
148000,149000,0,0,1,151305,0.05,0.16973
149000,150000,0,0,1,151305,0.05,0.16973
150000,151000,0,0,1,151305,0.05,0.16973
151000,152000,1,151305,1,151305,0.05,0.16973
